Country,Value
Afghanistan,36373.176
Africa,1287920.518
Albania,2934.363
Algeria,42008.054
American Samoa,55.679
Andorra,76.953
Angola,30774.205
Anguilla,15.045
Antigua and Barbuda,103.05
Argentina,44688.864
Armenia,2934.152
Aruba,105.67
Asia,4545133.094
Australia,24772.247
Australia/New Zealand,29521.845
Austria,8751.82
Azerbaijan,9923.914
Bahamas,399.285
Bahrain,1566.993
Bangladesh,166368.149
Barbados,286.388
Belarus,9452.113
Belgium,11498.519
Belize,382.444
Benin,11485.674
Bermuda,61.07
Bhutan,817.054
Bolivia (Plurinational State of),11215.674
Bosnia and Herzegovina,3503.554
Botswana,2333.201
Brazil,210867.954
British Virgin Islands,31.719
Brunei Darussalam,434.076
Bulgaria,7036.848
Burkina Faso,19751.651
Burundi,11216.45
Cabo Verde,553.335
Cambodia,16245.729
Cameroon,24678.234
Canada,36953.765
Caribbean,44155.323
Caribbean Netherlands,25.702
Cayman Islands,62.348
Central African Republic,4737.423
Central America,179616.163
Central Asia,71860.465
Chad,15353.184
Channel Islands,166.083
Chile,18197.209
China,1415045.928
China Hong Kong SAR,7428.887
China Macao SAR,632.418
China Taiwan Province of China,23694.089
Cô´te d'Ivoire,24905.843
Colombia,49464.683
Comoros,832.347
Congo,5399.895
Cook Islands,17.411
Costa Rica,4953.199
Croatia,4164.783
Cuba,11489.082
Curaçao,161.577
Cyprus,1189.085
Czechia,10625.25
Dem. People's Republic of Korea,25610.672
Democratic Republic of the Congo,84004.989
Denmark,5754.356
Djibouti,971.408
Dominica,74.308
Dominican Republic,10882.996
Eastern Africa,433643.132
Eastern Asia,1653883.533
Eastern Europe,291953.328
Ecuador,16863.425
Egypt,99375.741
El Salvador,6411.558
Equatorial Guinea,1313.894
Eritrea,5187.948
Estonia,1306.788
Ethiopia,107534.882
Europe,742648.01
Faeroe Islands,49.489
Falkland Islands (Malvinas),2.922
Fiji,912.241
Finland,5542.517
France,65233.271
French Guiana,289.763
French Polynesia,285.859
Gabon,2067.561
Gambia,2163.765
Georgia,3907.131
Germany,82293.457
Ghana,29463.643
Gibraltar,34.733
Greece,11142.161
Greenland,56.565
Grenada,108.339
Guadeloupe,449.173
Guam,165.718
Guatemala,17245.346
Guinea,13052.608
Guinea-Bissau,1907.268
Guyana,782.225
Haiti,11112.945
High-income countries,1197191.032
Holy See,0.801
Honduras,9417.167
Hungary,9688.847
Iceland,337.78
India,1354051.854
Indonesia,266794.98
Iran (Islamic Republic of),82011.735
Iraq,39339.753
Ireland,4803.748
Isle of Man,84.831
Israel,8452.841
Italy,59290.969
Jamaica,2898.677
Japan,127185.332
Jordan,9903.802
Kazakhstan,18403.86
Kenya,50950.879
Kiribati,118.414
Kuwait,4197.128
Kyrgyzstan,6132.932
Lao People's Democratic Republic,6961.21
Latin America and the Caribbean,652012.001
Latvia,1929.938
Least developed countries,1025936.734
Lebanon,6093.509
Lesotho,2263.01
Less developed regions,6369619.648
Less developed regions excluding China,4922818.326
Less developed regions excluding least developed countries,5343682.914
Liberia,4853.516
Libya,6470.956
Liechtenstein,38.155
Lithuania,2876.475
Low-income countries,695060.1
Lower-middle-income countries,3097406.897
Luxembourg,590.321
Madagascar,26262.81
Malawi,19164.728
Malaysia,32042.458
Maldives,444.259
Mali,19107.706
Malta,432.089
Marshall Islands,53.167
Martinique,385.065
Mauritania,4540.068
Mauritius,1268.315
Mayotte,259.682
Melanesia,10515.806
Mexico,130759.074
Micronesia,531.996
Micronesia (Fed. States of),106.227
Middle Africa,168538.203
Middle-income countries,5737641.716
Monaco,38.897
Mongolia,3121.772
Montenegro,629.219
Montserrat,5.203
More developed regions,1263199.677
Morocco,36191.805
Mozambique,30528.673
Myanmar,53855.735
Namibia,2587.801
Nauru,11.312
Nepal,29624.035
Netherlands,17084.459
New Caledonia,279.821
New Zealand,4749.598
Nicaragua,6284.757
Niger,22311.375
Nigeria,195875.237
Niue,1.624
Northern Africa,237784.677
Northern America,363844.49
Northern Europe,104761.581
Northern Mariana Islands,55.194
Norway,5353.363
Oceania,41261.212
Oman,4829.946
Pakistan,200813.818
Palau,21.964
Panama,4162.618
Papua New Guinea,8418.346
Paraguay,6896.908
Peru,32551.815
Philippines,106512.074
Poland,38104.832
Polynesia,691.565
Portugal,10291.196
Puerto Rico,3659.007
Qatar,2694.849
Republic of Korea,51164.435
Republic of Moldova,4041.065
Réunion,883.247
Romania,19580.634
Russian Federation,143964.709
Rwanda,12501.156
Saint Helena,4.074
Saint Kitts and Nevis,55.85
Saint Lucia,179.667
Saint Pierre and Miquelon,6.342
Saint Vincent and the Grenadines,110.2
Samoa,197.695
San Marino,33.557
Sao Tome and Principe,208.818
Saudi Arabia,33554.343
Senegal,16294.27
Serbia,8762.027
Seychelles,95.235
Sierra Leone,7719.729
Singapore,5791.901
Sint Maarten (Dutch part),40.552
Slovakia,5449.816
Slovenia,2081.26
Solomon Islands,623.281
Somalia,15181.925
South Africa,57398.421
South America,428240.515
South Sudan,12919.053
South-Central Asia,1963314.586
South-Eastern Asia,655636.576
Southern Africa,65973.818
Southern Asia,1891454.121
Southern Europe,151860.168
Spain,46397.452
Sri Lanka,20950.041
State of Palestine,5052.776
Sub-Saharan Africa,1050135.841
Sudan,41511.526
Suriname,568.301
Swaziland,1391.385
Sweden,9982.709
Switzerland,8544.034
Syrian Arab Republic,18284.407
Tajikistan,9107.211
TFYR Macedonia,2085.051
Thailand,69183.173
Timor-Leste,1324.094
Togo,7990.926
Tokelau,1.319
Tonga,109.008
Trinidad and Tobago,1372.598
Tunisia,11659.174
Turkey,81916.871
Turkmenistan,5851.466
Turks and Caicos Islands,35.963
Tuvalu,11.287
Uganda,44270.563
Ukraine,44009.214
United Arab Emirates,9541.615
United Kingdom,66573.504
United Republic of Tanzania,59091.392
United States of America,326766.748
United States Virgin Islands,104.914
Upper-middle-income countries,2640234.819
Uruguay,3469.551
Uzbekistan,32364.996
Vanuatu,282.117
Venezuela (Bolivarian Republic of),32381.221
Viet Nam,96491.146
Wallis and Futuna Islands,11.683
Western Africa,381980.688
Western Asia,272298.399
Western Europe,194072.933
Western Sahara,567.421
World,7632819.325
Yemen,28915.284
Zambia,17609.178
Zimbabwe,16913.261